JD,X,Y,Z,VX,VY,VZ
2460868.10000000,1.2364570921874819e-01,-4.1559484570074510e+00,2.7368124114889286e-01,-1.3851343202616023e-02,3.2696190543962840e-02,-1.4808830845546579e-03
2460868.20000000,1.2226057234791542e-01,-4.1526787528162554e+00,2.7353314723920913e-01,-1.3851393494509581e-02,3.2697892210601320e-02,-1.4809950745835647e-03
2460868.30000000,1.2087543047673985e-01,-4.1494088783375433e+00,2.7338504212087528e-01,-1.3851443338080872e-02,3.2699596599771286e-02,-1.4811072714342372e-03
2460868.40000000,1.1949028363727074e-01,-4.1461388332683002e+00,2.7323692577180297e-01,-1.3851492730984530e-02,3.2701303717675483e-02,-1.4812196756470667e-03
2460868.50000000,1.1810513188114272e-01,-4.1428686173505671e+00,2.7308879817191828e-01,-1.3851541670863197e-02,3.2703013570510357e-02,-1.4813322877626439e-03
2460868.60000000,1.1671997525377659e-01,-4.1395982303105407e+00,2.7294065930040423e-01,-1.3851590155348394e-02,3.2704726164497773e-02,-1.4814451083238552e-03
2460868.70000000,1.1533481380083063e-01,-4.1363276718737954e+00,2.7279250913638875e-01,-1.3851638182060219e-02,3.2706441505877204e-02,-1.4815581378753669e-03
2460868.80000000,1.1394964757465183e-01,-4.1330569417805085e+00,2.7264434765963547e-01,-1.3851685748607082e-02,3.2708159600897721e-02,-1.4816713769631056e-03
2460868.90000000,1.1256447660847636e-01,-4.1297860397245403e+00,2.7249617484778360e-01,-1.3851732852586526e-02,3.2709880455850097e-02,-1.4817848261363740e-03
2460869.00000000,1.1117930095513176e-01,-4.1265149654448141e+00,2.7234799068048704e-01,-1.3851779491583831e-02,3.2711604077018862e-02,-1.4818984859446937e-03
2460869.10000000,1.0979412066123748e-01,-4.1232437186643924e+00,2.7219979513665454e-01,-1.3851825663172853e-02,3.2713330470714334e-02,-1.4820123569399218e-03
2460869.20000000,1.0840893577365612e-01,-4.1199722991057079e+00,2.7205158819513986e-01,-1.3851871364915731e-02,3.2715059643264724e-02,-1.4821264396757299e-03
2460869.30000000,1.0702374634594500e-01,-4.1167007065057923e+00,2.7190336983543140e-01,-1.3851916594362631e-02,3.2716791601008023e-02,-1.4822407347070785e-03
